worker_id,platform,tenure_months,avg_rating,completion_rate,cancellation_rate,jobs_completed,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,income_month_7,income_month_8,income_month_9,income_month_10,income_month_11,income_month_12,jobs_month_1,jobs_month_2,jobs_month_3,jobs_month_4,jobs_month_5,jobs_month_6,jobs_month_7,jobs_month_8,jobs_month_9,jobs_month_10,jobs_month_11,jobs_month_12
W00001,Home Services,12,4.22,0.714,0.35,661,18462,21917,18833,20627,19687,24820,14182,16417,20552,24050,21753,24716,70,61,61,59,71,47,67,52,50,51,43,64
W00002,Ride-Hailing,41,4.64,0.821,0.181,2636,18762,21996,20029,27848,17066,15358,18300,16739,14946,16781,21366,21789,84,77,73,65,76,73,62,73,58,55,72,59
W00003,Freelance,29,4.51,0.78,0.051,2836,10798,18222,11834,14324,13901,8369,10248,18678,19108,13293,10346,14814,79,87,86,94,99,109,111,98,99,92,70,89
W00004,Home Services,25,4.55,0.844,0.163,1979,44763,38307,40511,41613,36519,39192,42043,45296,43579,46448,44972,44948,68,70,60,59,80,72,74,81,59,66,77,69
W00005,Delivery,31,4.31,0.932,0.257,2826,11732,15012,12132,15977,14373,13469,13147,12045,13567,21180,14017,17904,99,81,77,92,88,91,94,90,81,76,98,48
W00006,Freelance,12,4.59,0.961,0.114,968,14509,24945,22433,21852,19529,23671,24408,16258,16401,22639,18079,18735,68,61,77,84,65,75,79,81,94,79,96,73
W00007,Home Services,19,4.19,0.628,0.221,739,20185,16957,17326,20131,16310,17919,17732,22336,18696,18625,13580,22725,53,42,34,39,43,42,43,45,41,37,49,48
W00008,Home Services,14,4.53,0.835,0.127,738,20504,26022,21170,18517,23905,19011,20888,19359,17497,15919,18360,23381,72,47,59,41,54,48,49,48,54,58,52,52
W00009,Delivery,24,4.76,0.914,0.35,595,26094,30194,34108,24184,27363,29138,37066,31763,21856,26022,29384,23272,20,29,26,26,27,32,28,28,28,35,26,27
W00010,Ride-Hailing,24,4.46,0.7,0.178,1153,17714,18546,21066,18734,20486,24396,17800,22634,12091,18705,15867,20721,55,44,57,54,52,46,51,54,50,67,44,58
W00011,Delivery,30,4.66,0.954,0.154,1182,26546,23265,30536,31617,37925,35275,36617,32951,36952,31973,33927,37127,31,47,44,50,54,60,45,40,44,45,47,39
W00012,Freelance,32,4.06,0.608,0.114,1555,19940,30016,10584,30282,24014,27699,12229,23547,18283,12576,18153,21077,42,46,45,45,50,33,46,48,45,45,46,52
W00013,Ride-Hailing,12,4.04,0.987,0.011,675,23814,25160,29267,19620,18435,22371,18108,20178,24691,26230,22691,26899,61,53,63,53,44,64,37,47,54,37,51,57
W00014,Home Services,19,4.63,0.892,0.153,895,34036,37364,36537,27846,23850,38301,26328,18811,32902,30081,27471,28163,37,39,41,39,30,41,36,46,44,41,46,53
W00015,Ride-Hailing,22,4.81,0.916,0.35,791,24788,30629,32385,44997,27761,33971,14149,31688,27739,11167,16351,9415,40,34,31,35,41,41,30,31,35,32,27,32
W00016,Delivery,12,4.49,0.929,0.136,913,5513,22791,23377,29712,20942,33498,25664,16973,27429,24607,17820,25192,68,74,75,80,70,77,75,61,71,72,58,68
W00017,Ride-Hailing,12,5.0,0.724,0.245,512,36008,33335,33062,33312,31771,31597,32105,37969,35648,36679,37776,33881,50,44,46,35,57,42,45,56,45,49,43,48
W00018,Delivery,12,4.19,0.959,0.268,660,10923,11825,16761,14336,16685,18313,15346,13974,15739,14961,15947,16275,52,59,53,44,44,52,54,50,47,44,55,53
W00019,Home Services,12,4.38,0.88,0.098,960,16064,22167,18891,19272,27815,20704,24337,25594,34685,28108,16675,17514,91,84,78,76,70,78,73,74,87,93,64,88
W00020,Ride-Hailing,35,4.59,0.632,0.065,1302,56552,25806,41297,34341,29101,69158,55503,58941,64695,50910,64722,62505,36,36,30,46,40,45,41,40,44,37,49,37
W00021,Home Services,12,4.67,0.82,0.062,835,15473,22250,18808,18341,12523,15402,33193,14631,17766,22396,19582,14757,74,68,68,73,68,57,57,66,73,68,65,66
W00022,Delivery,12,4.4,0.895,0.299,346,30957,27719,31386,33988,33975,43613,29269,32932,34395,31291,21076,29396,23,30,31,27,27,30,35,35,28,38,29,33
W00023,Freelance,23,4.29,0.841,0.142,1358,16975,15953,13202,14594,16616,21458,20710,16483,17593,23536,14269,9581,42,53,48,57,52,51,58,62,57,64,60,70
W00024,Freelance,28,4.71,0.842,0.046,2006,22720,26998,22178,21061,21956,18284,20789,24275,27953,26229,23435,26461,67,67,68,61,66,73,68,68,72,65,77,56
W00025,Home Services,21,4.58,0.861,0.35,908,19661,18846,20502,18267,19846,19022,15062,11827,16608,17460,16325,15587,45,51,55,38,53,47,46,33,38,36,36,45
W00026,Delivery,12,4.46,0.771,0.102,832,37158,40531,17934,24049,33201,33580,35497,38800,46881,39159,35651,29021,72,54,75,69,74,79,72,68,79,77,75,77
W00027,Ride-Hailing,12,4.67,0.934,0.07,894,25153,22325,23701,24849,23144,27193,30354,31591,30894,28832,27961,28795,64,68,69,64,73,65,59,65,70,69,72,75
